cui,code,str
C5227844,A02BD14,"vonoprazan, amoxicillin and clarithromycin"
C5227845,A02BD15,"vonoprazan, amoxicillin and metronidazole"
C5211090,A02BD16,"omeprazole, amoxicillin and rifabutin"
C5679566,A02BD17,vonoprazan and amoxicillin
C3653988,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
C3653988,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC
C0006979,A02BX01,carbenoxolone
C0038633,A02BX02,sucralfate
C0031978,A02BX03,pirenzepine
C0658922,A02BX04,methiosulfonium chloride
C0106556,A02BX05,bismuth subcitrate
C0033321,A02BX06,proglumide
C0017226,A02BX07,gefarnate
C0075614,A02BX08,sulglicotide
C0050521,A02BX09,acetoxolone
C0650163,A02BX10,zolimidine
C0147037,A02BX11,troxipide
C0053791,A02BX12,bismuth subnitrate
C0051156,A02BX13,alginic acid
C0069562,A02BX14,rebamipide
C0061231,A02BX15,teprenone
C0063879,A02BX16,irsogladine
C3653198,A02BX51,"carbenoxolone, combinations excl. psycholeptics"
C3653267,A02BX71,"carbenoxolone, combinations with psycholeptics"
C3653251,A02BX77,"gefarnate, combinations with psycholeptics"
C3653940,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
C3653940,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS in ATC
C3653766,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
C3653766,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
C3653987,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
C3653987,A03AA,"Synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders"
C0069833,A03AA01,oxyphencyclimine
C0054568,A03AA03,camylofin
C0065832,A03AA04,mebeverine
C0041023,A03AA05,trimebutine
C0073547,A03AA06,rociverine
C0012125,A03AA07,dicycloverine
C0771461,A03AA08,dihexyverine
C0612470,A03AA09,difemerine
C0163025,A03AA30,piperidolate
C3653986,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds"
C3653986,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders"
C3652928,A03AB01,benzilone
C4082411,A03AB02,glycopyrronium bromide
C0030082,A03AB03,oxyphenonium
C0301375,A03AB04,penthienate
C0033447,A03AB05,propantheline
C0134250,A03AB06,otilonium bromide
C0025624,A03AB07,methantheline
C0077081,A03AB08,tridihexethyl
C0301373,A03AB09,isopropamide
C0062674,A03AB10,hexocyclium
C0071324,A03AB11,poldine
C0360172,A03AB12,mepenzolate
C0053533,A03AB13,bevonium
C0071103,A03AB14,pipenzolate
C0301371,A03AB15,diphemanil
C3652946,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide
C0076664,A03AB17,tiemonium iodide
C0034301,A03AB18,prifinium bromide
C0076687,A03AB19,timepidium bromide
C0060190,A03AB21,fenpiverinium
C3652812,A03AB53,"oxyphenonium, combinations"
C3653985,A03AC,"Synthetic antispasmodics, amides with tertiary amines"
C3653985,A03AC,"Synthetic antispasmodics, amides with tertiary amines for functional gastrointestinal disorders"
C3652660,A03AC02,dimethylaminopropionylphenothiazine
C3652677,A03AC04,nicofetamide
C0076723,A03AC05,tiropramide
C3654045,A03AD,Papaverine and derivatives
C3654045,A03AD,Papaverine and derivatives containing drugs for functional gastrointestinal disorders
C0030350,A03AD01,papaverine
C0058762,A03AD02,drotaverine
C0129044,A03AD30,moxaverine
C3541966,A03AE,Serotonin receptor antagonists
C3541966,A03AE,Serotonin receptor antagonists for functional gastrointestinal disorders
C0291772,A03AE01,alosetron
C0249289,A03AE03,cilansetron
C3653984,A03AX,Other drugs for functional gastrointestinal disorders
C3653984,A03AX,Other drugs for functional gastrointestinal disorders in ATC
C1173376,A03AX01,fenpiprane
C0771458,A03AX02,diisopromine
C2699179,A03AX03,chlorbenzoxamine
C0071081,A03AX04,pinaverium
C0060182,A03AX05,fenoverine
C3652682,A03AX06,idanpramine
C0072507,A03AX07,proxazole
C0051528,A03AX08,alverine
C0094813,A03AX09,trepibutone
C0064007,A03AX10,isometheptene
C0108530,A03AX11,caroverine
C0031566,A03AX12,phloroglucinol
C0037114,A03AX13,silicones
C0077981,A03AX14,valethamate
C0070325,A03AX15,menthae piperitae aetheroleum
C3652671,A03AX30,trimethyldiphenylpropylamine
C3653182,A03AX58,"alverine, combinations"
C3654044,A03B,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
C3654044,A03B,"BELLADONNA AND DERIVATIVES, PLAIN"
C3653983,A03BA,"Belladonna alkaloids, tertiary amines"
C3653983,A03BA,"Belladonna alkaloids, tertiary amines for functional gastrointestinal disorders"
C0004259,A03BA01,atropine
C0596004,A03BA03,hyoscyamine
C3652929,A03BA04,belladonna total alkaloids
C3653982,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
C3653982,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders"
C2827093,A03BB01,butylscopolamine
C0066332,A03BB02,methylatropine
C0301374,A03BB03,methylscopolamine
C0060206,A03BB04,fentonium
C1614557,A03BB05,cimetropium bromide
C0062923,A03BB06,homatropine methylbromide
C3653700,A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
C3653641,A03CA,Synthetic anticholinergic agents in combination with psycholeptics
C3652454,A03CA01,isopropamide and psycholeptics
C3652994,A03CA02,clidinium and psycholeptics
C3652889,A03CA03,oxyphencyclimine and psycholeptics
C3652729,A03CA04,otilonium bromide and psycholeptics
C3652968,A03CA05,glycopyrronium bromide and psycholeptics
C3652926,A03CA06,bevonium and psycholeptics
C3653019,A03CA07,ambutonium and psycholeptics
C3652989,A03CA08,diphemanil and psycholeptics
C3871432,A03CA09,pipenzolate and psycholeptics
C3652773,A03CA30,emepronium and psycholeptics
C3653055,A03CA34,propantheline and psycholeptics
C3653688,A03CB,Belladonna and derivatives in combination with psycholeptics
C3652952,A03CB01,methylscopolamine and psycholeptics
C3653008,A03CB02,belladonna total alkaloids and psycholeptics
C3652998,A03CB03,atropine and psycholeptics
C3652741,A03CB04,homatropine methylbromide and psycholeptics
C3652757,A03CB31,hyoscyamine and psycholeptics
C3654043,A03CC,Other antispasmodics in combination with psycholeptics
C3654043,A03CC,Other antispasmodics in combination with psycholeptics in ATC
C3653694,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS
C3653642,A03DA,Synthetic anticholinergic agents in combination with analgesics
C3653072,A03DA01,tropenzilone and analgesics
C3653001,A03DA02,pitofenone and analgesics
C3653000,A03DA03,bevonium and analgesics
C3652981,A03DA04,ciclonium and analgesics
C3652433,A03DA05,camylofin and analgesics
C3653073,A03DA06,trospium and analgesics
C3652704,A03DA07,tiemonium iodide and analgesics
C3653689,A03DB,Belladonna and derivatives in combination with analgesics
C3652996,A03DB04,butylscopolamine and analgesics
C3653895,A03DC,Other antispasmodics in combination with analgesics
C3653895,A03DC,Other antispasmodics in combination with analgesics in ATC
C3653695,A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
C3653699,A03EA,"Antispasmodics, psycholeptics and analgesics in combination"
C3653693,A03ED,Antispasmodics in combination with other drugs
C3653283,A03F,PROPULSIVES
C3653283,A03FA,Propulsives
C0025853,A03FA01,metoclopramide
C0072916,A03FA02,cisapride
C0013015,A03FA03,domperidone
C0054129,A03FA04,bromopride
C0051162,A03FA05,alizapride
C0055869,A03FA06,clebopride
C0531483,A03FA07,itopride
C0055747,A03FA08,cinitapride
C0526501,A03FA09,mosapride
C4317155,A03FA10,acotiamide
C3653765,A04,ANTIEMETICS AND ANTINAUSEANTS
C3653765,A04A,ANTIEMETICS AND ANTINAUSEANTS
C3653981,A04AA,Serotonin (5HT3) antagonists
C0061851,A04AA01,ondansetron
C0061863,A04AA02,granisetron
C0063322,A04AA03,tropisetron
C0209210,A04AA04,dolasetron
C0220578,A04AA05,palonosetron
C3871434,A04AA55,"palonosetron, combinations"
C3654042,A04AD,Other antiemetics
C3654042,A04AD,Other antiemetics in ATC
C0036442,A04AD01,scopolamine
C0982068,A04AD02,cerium oxalate
C0008232,A04AD04,chlorobutanol
