cui,code,str
C1698215,C01EB21,regadenoson
C0047115,C01EB22,meldonium
C4301629,C01EB23,tiazotic acid
C4742219,C01EB24,mavacamten
C5418800,C01EB25,acoramidis
C3654026,C01EX,Other cardiac combination products
C3654026,C01EX,Other cardiac therapy combination products in ATC
C0003364,C02,ANTIHYPERTENSIVES
C3653730,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C3541373,C02AA,Rauwolfia alkaloids
C3541373,C02AA,"Rauwolfia alkaloids, centrally acting antiadrenergic"
C0035167,C02AA01,rescinnamine
C0035179,C02AA02,reserpine
C3653132,C02AA03,combinations of rauwolfia alkaloids
C3652562,C02AA04,"rauwolfia alkaloids, whole root"
C0175158,C02AA05,deserpidine
C0771017,C02AA06,methoserpidine
C0053565,C02AA07,bietaserpine
C3652842,C02AA52,"reserpine, combinations"
C3653131,C02AA53,"combinations of rauwolfia alkoloids, combinations"
C3653172,C02AA57,"bietaserpine, combinations"
C3540782,C02AB,Methyldopa
C3540782,C02AB,"Methyldopa, centrally acting adntiadrenergic agents"
C0025741,C02AB01,methyldopa (levorotatory)
C3652552,C02AB02,methyldopa (racemic)
C0593367,C02AC,Imidazoline receptor agonists
C0009014,C02AC01,clonidine
C0079466,C02AC02,guanfacine
C0076803,C02AC04,tolonidine
C0066837,C02AC05,moxonidine
C0140591,C02AC06,rilmenidine
C3653729,C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING"
C3654027,C02BA,Sulfonium derivatives
C3654027,C02BA,"Sulfonium derivatives, ganglion-blocking adreneregic"
C0041040,C02BA01,trimetaphan
C3654028,C02BB,Secondary and tertiary amines
C3654028,C02BB,"Secondary and tertiary amines, ganglion-blocking antiadrenergic"
C0025029,C02BB01,mecamylamine
C3654029,C02BC,Bisquaternary ammonium compounds
C3654029,C02BC,"Bisquaternary ammonium compounds, ganglion-blocking antiandrenergic"
C3653728,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
C3539938,C02CA,Alpha-adrenoreceptor antagonists
C3539938,C02CA,"Alpha-adrenoreceptor antagonists, peripherally acting"
C0032912,C02CA01,prazosin
C0021252,C02CA02,indoramin
C0077147,C02CA03,trimazosin
C0114873,C02CA04,doxazosin
C0077857,C02CA06,urapidil
C3541392,C02CC,Guanidine derivatives
C3541392,C02CC,"Guanine derivatives, peripherally acting antiadrenergic agents"
C0005324,C02CC01,betanidine
C0018318,C02CC02,guanethidine
C0650263,C02CC03,guanoxan
C0011082,C02CC04,debrisoquine
C0061964,C02CC05,guanoclor
C0061940,C02CC06,guanazodine
C0061990,C02CC07,guanoxabenz
C3653524,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C3654030,C02DA,Thiazide derivatives
C3654030,C02DA,Thiazide derivatives acting on arteriolar smooth muscle
C0012022,C02DA01,diazoxide
C3654031,C02DB,Hydrazinophthalazine derivatives
C3654031,C02DB,Hydrazinophthalazine derivatives acting on arteriolar smooth muscle
C0012271,C02DB01,dihydralazine
C0020223,C02DB02,hydralazine
C0116074,C02DB03,endralazine
C0054422,C02DB04,cadralazine
C3654032,C02DC,Pyrimidine derivatives
C3654032,C02DC,Pyrimidine derivatives acting on arteriolar smooth muscle
C0026196,C02DC01,minoxidil
C3654033,C02DD,Nitroferricyanide derivatives
C3654033,C02DD,Nitroferricyanide derivatives acting on arteriolar smooth muscle
C0028193,C02DD01,nitroprusside
C3540046,C02DG,Guanidine derivatives
C3540046,C02DG,Guanine derivatives acting on arteriolar smooth muscle
C0071074,C02DG01,pinacidil
C3539170,C02K,OTHER ANTIHYPERTENSIVES
C3539170,C02K,OTHER ANTIHYPERTENSIVES in ATC
C3653469,C02KA,"Alkaloids, excl. rauwolfia"
C3653469,C02KA,"Alkaloids, excl. rauwolfia, antihypertensives"
C0042528,C02KA01,veratrum
C3653349,C02KB,Tyrosine hydroxylase inhibitors
C3653349,C02KB,"Tyrosine hydroxylase inhibitors, antihypertensives"
C0886584,C02KB01,metirosine
C3540022,C02KC,MAO inhibitors
C3540022,C02KC,"MAO inhibitors, antihypertensives"
C0030557,C02KC01,pargyline
C3540779,C02KD,Serotonin antagonists
C3540779,C02KD,"Serotonin antagonists, antihypertensives"
C0022616,C02KD01,ketanserin
C3539170,C02KN,Other antihypertensives
C3539170,C02KN,Other antihypertensives in ATC
C5139816,C02KN01,aprocitentan
C3871469,C02KX,Antihypertensives for pulmonary arterial hypertension
C0252643,C02KX01,bosentan
C1176329,C02KX02,ambrisentan
C1704271,C02KX03,sitaxentan
C2606556,C02KX04,macitentan
C2717561,C02KX05,riociguat
C2699571,C02KX06,sotatercept
C4759126,C02KX52,ambrisentan and tadalafil
C5783059,C02KX54,macitentan and tadalafil
C3653717,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C3653644,C02LA,Rauwolfia alkaloids and diuretics in combination
C3653061,C02LA01,reserpine and diuretics
C3653062,C02LA02,rescinnamine and diuretics
C3653040,C02LA03,deserpidine and diuretics
C3653031,C02LA04,methoserpidine and diuretics
C3652435,C02LA07,bietaserpine and diuretics
C3653060,C02LA08,"rauwolfia alkaloids, whole root and diuretics"
C3653066,C02LA09,syrosingopine and diuretics
C3652902,C02LA50,combination of rauwolfia alkaloids and diuretics incl. other combinations
C3653226,C02LA51,"reserpine and diuretics, combinations with other drugs"
C3653227,C02LA52,"rescinnamine and diuretics, combinations with other drugs"
C3653225,C02LA71,"reserpine and diuretics, combinations with psycholeptics"
C3653648,C02LB,Methyldopa and diuretics in combination
C3653030,C02LB01,methyldopa (levorotatory) and diuretics
C3653651,C02LC,Imidazoline receptor agonists in combination with diuretics
C3653042,C02LC01,clonidine and diuretics
C3653028,C02LC05,moxonidine and diuretics
C3653261,C02LC51,"clonidine and diuretics, combinations with other drugs"
C3653286,C02LE,Alpha-adrenoreceptor antagonists and diuretics
C3653024,C02LE01,prazosin and diuretics
C3653588,C02LF,Guanidine derivatives and diuretics
C3653035,C02LF01,guanethidine and diuretics
C3653582,C02LG,Hydrazinophthalazine derivatives and diuretics
C3653039,C02LG01,dihydralazine and diuretics
C3653034,C02LG02,hydralazine and diuretics
C3653025,C02LG03,picodralazine and diuretics
C3653256,C02LG51,"dihydralazine and diuretics, combinations with other drugs"
C3653232,C02LG73,"picodralazine and diuretics, combinations with psycholeptics"
C3653812,C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics"
C3653022,C02LK01,veratrum and diuretics
C3653571,C02LL,MAO inhibitors and diuretics
C3653046,C02LL01,pargyline and diuretics
C3653562,C02LN,Serotonin antagonists and diuretics
C3653909,C02LX,Other antihypertensives and diuretics
C3653909,C02LX,Other antihypertensives and diuretics in ATC
C3653052,C02LX01,pinacidil and diuretics
C3653637,C02N,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02
C0012798,C03,DIURETICS
C3653558,C03A,"LOW-CEILING DIURETICS, THIAZIDES"
C3653769,C03AA,"Thiazides, plain"
C0004975,C03AA01,bendroflumethiazide
C0020273,C03AA02,hydroflumethiazide
C0020261,C03AA03,hydrochlorothiazide
C0008273,C03AA04,chlorothiazide
C0032613,C03AA05,polythiazide
C0040899,C03AA06,trichlormethiazide
C0010581,C03AA07,cyclopenthiazide
C0025696,C03AA08,methyclothiazide
C0056831,C03AA09,cyclothiazide
C0603520,C03AA13,mebutizide
C3653640,C03AB,Thiazides and potassium in combination
C1302137,C03AB01,bendroflumethiazide and potassium
C3652759,C03AB02,hydroflumethiazide and potassium
C3652760,C03AB03,hydrochlorothiazide and potassium
C3652800,C03AB04,chlorothiazide and potassium
C3652721,C03AB05,polythiazide and potassium
C3653070,C03AB06,trichlormethiazide and potassium
C3652789,C03AB07,cyclopenthiazide and potassium
C3652743,C03AB08,methyclothiazide and potassium
C3652788,C03AB09,cyclothiazide and potassium
C3653638,C03AH,"Thiazides, combinations with psycholeptics and/or analgesics"
C3652440,C03AH01,"chlorothiazide, combinations"
C3653116,C03AH02,"hydroflumethiazide, combinations"
C3653639,C03AX,"Thiazides, combinations with other drugs"
C3653118,C03AX01,"hydrochlorothiazide, combinations"
C3653815,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
C3541387,C03BA,"sulfonamides, low-ceiling diuretics, plain"
C3541387,C03BA,"Sulfonamides, plain"
C0164608,C03BA02,quinethazone
C0009025,C03BA03,clopamide
C0008294,C03BA04,chlortalidone
C0025156,C03BA05,mefruside
C2699364,C03BA07,clofenamide
C0025854,C03BA08,metolazone
C0873165,C03BA09,meticrane
C0043355,C03BA10,xipamide
C0021186,C03BA11,indapamide
C0055938,C03BA12,clorexolone
C0060196,C03BA13,fenquizone
C3653260,C03BA82,"clorexolone, combinations with psycholeptics"
C3539183,C03BB,Sulfonamides and potassium in combination
C3539183,C03BB,"Sulfonamides and potassium in combination, low-ceiling diruetics, excluding thiazides"
C3652628,C03BB02,quinethazone and potassium
C3652795,C03BB03,clopamide and potassium
C3652799,C03BB04,chlortalidone and potassium
C3652745,C03BB05,mefruside and potassium
C3652796,C03BB07,clofenamide and potassium
C0012799,C03BC,Mercurial diuretics
C0025446,C03BC01,mersalyl
C3541954,C03BD,Xanthine derivatives
C3541954,C03BD,"Xanthine derivatives, low-ceiling diuretics"
C0039763,C03BD01,theobromine
C3653643,C03BK,"Sulfonamides, combinations with other drugs"
C3653851,C03BX,Other low-ceiling diuretics
C3653851,C03BX,Other low-ceiling diuretics in ATC
C0056686,C03BX03,cicletanine
C1563714,C03C,HIGH-CEILING DIURETICS
C3541388,C03CA,"sulfonamides, high-ceiling diuretics, plain"
C3541388,C03CA,"Sulfonamides, plain"
C0016860,C03CA01,furosemide
C0006376,C03CA02,bumetanide
C0071132,C03CA03,piretanide
C0076840,C03CA04,torasemide
C3540033,C03CB,Sulfonamides and potassium in combination
C3540033,C03CB,"Sulfonamides and potassium in combination, high-ceiling diruetics, excluding thiazides"
C1302002,C03CB01,furosemide and potassium
C1302086,C03CB02,bumetanide and potassium
C3653461,C03CC,Aryloxyacetic acid derivatives
C3653461,C03CC,"Aryloxyacetic acid derivatives, high-ceiling diuretics"
C0014963,C03CC01,etacrynic acid
C0040209,C03CC02,tienilic acid
C3540780,C03CD,Pyrazolone derivatives
C3540780,C03CD,"Pyrazolone derivatives, high-ceiling diuretics"
C0026885,C03CD01,muzolimine
C3653862,C03CX,Other high-ceiling diuretics
C3653862,C03CX,Other high-ceiling diuretics in ATC
C0059877,C03CX01,etozolin
C5577441,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS
C0002007,C03DA,Aldosterone antagonists
C0037982,C03DA01,spironolactone
C0006881,C03DA02,potassium canrenoate
C0006882,C03DA03,canrenone
C0961485,C03DA04,eplerenone
C4045511,C03DA05,finerenone
C3653838,C03DB,Other potassium-sparing agents
C3653838,C03DB,Other potassium-sparing agents in ATC
C0002502,C03DB01,amiloride
C0040869,C03DB02,triamterene
C3653659,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C3653573,C03EA,Low-ceiling diuretics and potassium-sparing agents
C3652967,C03EA01,hydrochlorothiazide and potassium-sparing agents
C3653071,C03EA02,trichlormethiazide and potassium-sparing agents
C3652978,C03EA03,epitizide and potassium-sparing agents
C3653017,C03EA04,altizide and potassium-sparing agents
C3652956,C03EA05,mebutizide and potassium-sparing agents
C3652798,C03EA06,chlortalidone and potassium-sparing agents
C3652900,C03EA07,cyclopenthiazide and potassium-sparing agents
C3652951,C03EA12,metolazone and potassium-sparing agents
C3653009,C03EA13,bendroflumethiazide and potassium-sparing agents
C3652997,C03EA14,butizide and potassium-sparing agents
C3653585,C03EB,High-ceiling diuretics and potassium-sparing agents
C3652969,C03EB01,furosemide and potassium-sparing agents
C3652982,C03EB02,bumetanide and potassium-sparing agents
C3540009,C03X,OTHER DIURETICS
C3540009,C03X,OTHER DIURETICS in ATC
C3537128,C03XA,Vasopressin antagonists
C3537128,C03XA,"Vasopressin antagonists, diuretics"
C1176308,C03XA01,tolvaptan
C0966107,C03XA02,conivaptan
C0724804,C04,PERIPHERAL VASODILATORS
C0724804,C04A,PERIPHERAL VASODILATORS
C3653810,C04AA,2-amino-1-phenylethanol derivatives
C0022267,C04AA01,isoxsuprine
C0028735,C04AA02,buphenine
C0004718,C04AA31,bamethan
C3653343,C04AB,Imidazoline derivatives
C3653343,C04AB,"Imidazoline derivatives, peripheral vasodilators"
C0031448,C04AB01,phentolamine
C0040373,C04AB02,tolazoline
C3539192,C04AC,Nicotinic acid and derivatives
C3539192,C04AC,"Nicotinic acid and derivatives, peripheral vasodilators"
C0027996,C04AC01,nicotinic acid
C0028053,C04AC02,nicotinyl alcohol
C0028053,C04AC02,nicotinyl alcohol (pyridylcarbinol)
C0063584,C04AC03,inositol nicotinate
C0055710,C04AC07,ciclonicate
C3653379,C04AD,Purine derivatives
C3653379,C04AD,"Purine derivatives, peripheral vasodilators"
C0070313,C04AD01,pentifylline
C0043319,C04AD02,xantinol nicotinate
C0030899,C04AD03,pentoxifylline
C1612882,C04AD04,etofylline nicotinate
C3541405,C04AE,Ergot alkaloid peripheral vasodilators
C3541405,C04AE,Ergot alkaloids
C0014708,C04AE01,ergoloid mesylates
C0028008,C04AE02,nicergoline
C0012289,C04AE04,dihydroergocristine
C3652878,C04AE51,"ergoloid mesylates, combinations"
C3653151,C04AE54,"dihydroergocristine, combinations"
C3540790,C04AF,Enzymes
C3540790,C04AF,"Enzymes, peripheral vasodilators"
C0022478,C04AF01,kallidinogenase
C3653841,C04AX,Other peripheral vasodilators
C3653841,C04AX,Other peripheral vasodilators in ATC
C0010525,C04AX01,cyclandelate
C0031441,C04AX02,phenoxybenzamine
C0042674,C04AX07,vincamine
C0040108,C04AX10,moxisylyte
C0004969,C04AX11,bencyclane
C0148398,C04AX17,vinburnine
C0038795,C04AX19,suloctidil
C0054207,C04AX20,buflomedil
C0027329,C04AX21,naftidrofuryl
C0644503,C04AX23,butalamine
C0644519,C04AX24,visnadine
C0055146,C04AX26,cetiedil
C0055740,C04AX27,cinepazide
C0063340,C04AX28,ifenprodil
C0052752,C04AX30,azapetine
C0062068,C04AX32,fasudil
C1721268,C04AX33,clazosentan
C0304533,C05,VASOPROTECTIVES
C3653798,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C3540727,C05AA,Corticosteroids
C3540727,C05AA,"Corticosteroids, topical for treatment of hemorrhoids and anal fissures"
C0020268,C05AA01,hydrocortisone
C0032950,C05AA04,prednisolone
C0005308,C05AA05,betamethasone
C0016351,C05AA06,fluorometholone
C0016301,C05AA08,fluocortolone
C0011777,C05AA09,dexamethasone
C0016298,C05AA10,fluocinolone acetonide
C0016299,C05AA11,fluocinonide
C0040864,C05AA12,triamcinolone
C3540707,C05AB,Antibiotics
C3540707,C05AB,Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C3540789,C05AD,Local anesthetics
C3540789,C05AD,Local anesthetics for treatment of hemorrhoids and anal fissures for topical use
C0023660,C05AD01,lidocaine
C0039629,C05AD02,tetracaine
C0005059,C05AD03,benzocaine
C0012050,C05AD04,cinchocaine
C0033218,C05AD05,procaine
C0069758,C05AD06,oxetacaine
C0071810,C05AD07,pramocaine
C3540042,C05AE,Muscle relaxants
C3540042,C05AE,Muscle relaxants FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C0017887,C05AE01,glyceryl trinitrate
C0022252,C05AE02,isosorbide dinitrate
C0012373,C05AE03,diltiazem
C3653927,C05AX,Other agents for treatment of hemorrhoids and anal fissures for topical use
C3653927,C05AX,Other agents for treatment of hemorrhoids and anal fissures for topical use in ATC
C3652575,C05AX01,aluminium preparations
C3653168,C05AX02,"bismuth preparations, combinations"
C3652813,C05AX03,"other preparations, combinations"
C3652702,C05AX04,zinc preparations
C0077015,C05AX05,tribenoside
C0031469,C05AX06,phenylephrine
C0360720,C05B,ANTIVARICOSE THERAPY
C0360720,C05B,ANTIVARICOSE THERAPY DRUGS
C3653711,C05BA,Heparins or heparinoids for topical use
C3652535,C05BA01,organo-heparinoid
C0126367,C05BA02,sodium apolate
C0019134,C05BA03,heparin
C0524684,C05BA04,pentosan polysulfate sodium
C3653126,C05BA51,"heparinoid, combinations"
C3653127,C05BA53,"heparin, combinations"
C3653551,C05BB,Sclerosing agents for local injection
C0059699,C05BB01,monoethanolamine oleate
C0071330,C05BB02,polidocanol
C0063739,C05BB03,invert sugar
C0037556,C05BB04,sodium tetradecyl sulfate
C0070570,C05BB05,phenol
C3652865,C05BB56,"glucose, combinations"
C3653832,C05BX,Other sclerosing agents
C3653832,C05BX,Other sclerosing agents in ATC
C0006694,C05BX01,calcium dobesilate
C3652887,C05BX51,"calcium dobesilate, combinations"
C3653525,C05C,CAPILLARY STABILIZING AGENTS
C3540801,C05CA,Bioflavonoid drugs for capillary stabilizing
C3540801,C05CA,Bioflavonoids
C0035976,C05CA01,rutoside
C0771957,C05CA02,monoxerutin
C0012498,C05CA03,diosmin
C0077410,C05CA04,troxerutin
C0121780,C05CA05,hidrosmin
C3652838,C05CA51,"rutoside, combinations"
C3652441,C05CA53,"diosmin, combinations"
C3653093,C05CA54,"troxerutin, combinations"
C3653887,C05CX,Other capillary stabilizing agents
C3653887,C05CX,Other capillary stabilizing agents in ATC
C0077015,C05CX01,tribenoside
C0068366,C05CX02,naftazone
C0874047,C05CX03,Hippocastani semen
C5881805,C05X,OTHER VASOPROTECTIVES
C5881805,C05X,OTHER VASOPROTECTIVES in ATC
C5881805,C05XX,Other vasoprotectives
C5881805,C05XX,Other vasoprotectives in ATC
C5881814,C05XX01,beperminogene perplasmid
C0001645,C07,beta-Adrenergic Blocking Agents
C0001645,C07,BETA BLOCKING AGENTS
C0001645,C07A,BETA BLOCKING AGENTS
C0304515,C07AA,"Beta blocking agents, non-selective"
C0002334,C07AA01,alprenolol
C0030040,C07AA02,oxprenolol
C0031937,C07AA03,pindolol
C0033497,C07AA05,propranolol
C0040233,C07AA06,timolol
C0037707,C07AA07,sotalol
C0027302,C07AA12,nadolol
C0065961,C07AA14,mepindolol
C0007299,C07AA15,carteolol
C0076166,C07AA16,tertatolol
C0053941,C07AA17,bopindolol
C0006403,C07AA19,bupranolol
C0030812,C07AA23,penbutolol
C0076772,C07AA27,cloranolol
C3653483,C07AB,"Beta blocking agents, selective"
C0032896,C07AB01,practolol
C0025859,C07AB02,metoprolol
C0004147,C07AB03,atenolol
C0000946,C07AB04,acebutolol
C0005320,C07AB05,betaxolol
C0053532,C07AB06,bevantolol
C0053799,C07AB07,bisoprolol
C0055021,C07AB08,celiprolol
C0116569,C07AB09,esmolol
C0116294,C07AB10,epanolol
C3652674,C07AB11,s-atenolol
C0068475,C07AB12,nebivolol
C0075783,C07AB13,talinolol
C0905464,C07AB14,landiolol
C3653633,C07AG,Alpha and beta blocking agents
C0022860,C07AG01,labetalol
C0054836,C07AG02,carvedilol
C3653615,C07B,BETA BLOCKING AGENTS AND THIAZIDES
C3653611,C07BA,"Beta blocking agents, non-selective, and thiazides"
C3652728,C07BA02,oxprenolol and thiazides
C3653057,C07BA05,propranolol and thiazides
C3652703,C07BA06,timolol and thiazides
C3652711,C07BA07,sotalol and thiazides
C3652737,C07BA12,nadolol and thiazides
C3652891,C07BA68,"metipranolol and thiazides, combinations"
C3653606,C07BB,"Beta blocking agents, selective, and thiazides"
C3652948,C07BB02,metoprolol and thiazides
C3652999,C07BB03,atenolol and thiazides
C3652986,C07BB04,acebutolol and thiazides
C3652927,C07BB06,bevantolol and thiazides
C3652924,C07BB07,bisoprolol and thiazides
C3652736,C07BB12,nebivolol and thiazides
C3652890,C07BB52,"metoprolol and thiazides, combinations"
C3653796,C07BG,Alpha and beta blocking agents and thiazides
C3652751,C07BG01,labetalol and thiazides
C3653614,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS
C3653612,C07CA,"Beta blocking agents, non-selective, and other diuretics"
C3653011,C07CA02,oxprenolol and other diuretics
C3653051,C07CA03,pindolol and other diuretics
C3653006,C07CA17,bopindolol and other diuretics
C3653047,C07CA23,penbutolol and other diuretics
C3653607,C07CB,"Beta blocking agents, selective, and other diuretics"
C3652949,C07CB02,metoprolol and other diuretics
C3653013,C07CB03,atenolol and other diuretics
C3653178,C07CB53,"atenolol and other diuretics, combinations"
C3653797,C07CG,Alpha and beta blocking agents and other diuretics
C3652958,C07CG01,labetalol and other diuretics
C3653603,C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS"
C3653609,C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics"
C3653012,C07DA06,"timolol, thiazides and other diuretics"
C3653604,C07DB,"Beta blocking agents, selective, thiazides and other diuretics"
C3652983,C07DB01,"atenolol, thiazides and other diuretics"
C3653310,C07E,BETA BLOCKING AGENTS AND VASODILATORS
C3653610,C07EA,"Beta blocking agents, non-selective, and vasodilators"
C3653605,C07EB,"Beta blocking agents, selective, and vasodilators"
C3653613,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS"
C3653608,C07FB,Beta blocking agents and calcium channel blockers
C2928411,C07FB02,metoprolol and felodipine
C1302013,C07FB03,atenolol and nifedipine
C3653007,C07FB07,bisoprolol and amlodipine
C3871438,C07FB12,nebivolol and amlodipine
C4301622,C07FB13,metoprolol and amlodipine
C3653613,C07FX,"Beta blocking agents, other combinations"
C4301627,C07FX01,propranolol and other combinations
C4301628,C07FX02,sotalol and acetylsalicylic acid
C4301621,C07FX03,metoprolol and acetylsalicylic acid
C4301606,C07FX04,bisoprolol and acetylsalicylic acid
C4301623,C07FX05,metoprolol and ivabradine
C4301608,C07FX06,carvedilol and ivabradine
C0006684,C08,CALCIUM CHANNEL BLOCKERS
C3653553,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C3653438,C08CA,Dihydropyridine derivatives
C3653438,C08CA,Dihydropyridine derivative selective calcium channel blockers with mainly vascular effects
C0051696,C08CA01,amlodipine
C0015772,C08CA02,felodipine
C0071304,C08CA03,isradipine
C0028005,C08CA04,nicardipine
C0028066,C08CA05,nifedipine
C0028094,C08CA06,nimodipine
C0028116,C08CA07,nisoldipine
C0028127,C08CA08,nitrendipine
C0064568,C08CA09,lacidipine
C0132512,C08CA10,nilvadipine
C0065656,C08CA11,manidipine
C0078703,C08CA12,barnidipine
C0526399,C08CA13,lercanidipine
C0378675,C08CA14,cilnidipine
C0053108,C08CA15,benidipine
C0766108,C08CA16,clevidipine
C2717539,C08CA17,levamlodipine
C4695019,C08CA51,amlodipine and celecoxib
C3652829,C08CA55,"nifedipine, combinations"
C3653831,C08CX,Other selective calcium channel blockers with mainly vascular effects
C3653831,C08CX,Other selective calcium channel blockers with mainly vascular effects in ATC
C0286185,C08CX01,mibefradil
C3653552,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C3539995,C08DA,Phenylalkylamine derivatives
C3539995,C08DA,"Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects"
C0042523,C08DA01,verapamil
C0016986,C08DA02,gallopamil
C4519151,C08DA03,etripamil
C3652841,C08DA51,"verapamil, combinations"
C3653455,C08DB,Benzothiazepine derivatives
C3653455,C08DB,Benzothiazepine derivative selective calcium channel blockers with direct cardiac effects
C0012373,C08DB01,diltiazem
C3653486,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C3539994,C08EA,Phenylalkylamine derivatives
C3539994,C08EA,"Phenylalkylamine derivatives, non-selective calcium channel blockers"
C0015824,C08EA01,fendiline
C0005116,C08EA02,bepridil
C3653847,C08EX,Other non-selective calcium channel blockers
C3653847,C08EX,Other non-selective calcium channel blockers in ATC
C0023665,C08EX01,lidoflazine
C0031013,C08EX02,perhexiline
C3653757,C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS
C3653757,C08GA,Calcium channel blockers and diuretics
C3653027,C08GA01,nifedipine and diuretics
C3700409,C08GA02,amlodipine and diuretics
C3653735,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C3653768,C09A,"ACE INHIBITORS, PLAIN"
C3653768,C09AA,"ACE inhibitors, plain"
C0006938,C09AA01,captopril
C0014025,C09AA02,enalapril
C0065374,C09AA03,lisinopril
C0136123,C09AA04,perindopril
C0072973,C09AA05,ramipril
C0072857,C09AA06,quinapril
C0053091,C09AA07,benazepril
C0055723,C09AA08,cilazapril
C0118168,C09AA09,fosinopril
C0076891,C09AA10,trandolapril
C0075007,C09AA11,spirapril
C0057301,C09AA12,delapril
C0066685,C09AA13,moexipril
C0753183,C09AA14,temocapril
C0078836,C09AA15,zofenopril
C0165703,C09AA16,imidapril
C3653706,C09B,"ACE INHIBITORS, COMBINATIONS"
C3653807,C09BA,ACE inhibitors and diuretics
C0358689,C09BA01,captopril and diuretics
C3653038,C09BA02,enalapril and diuretics
C0360734,C09BA03,lisinopril and diuretics
C3653048,C09BA04,perindopril and diuretics
C3653059,C09BA05,ramipril and diuretics
C3652436,C09BA06,quinapril and diuretics
C3653045,C09BA07,benazepril and diuretics
C3653043,C09BA08,cilazapril and diuretics
C3653036,C09BA09,fosinopril and diuretics
C3653041,C09BA12,delapril and diuretics
C3653029,C09BA13,moexipril and diuretics
C3653074,C09BA15,zofenopril and diuretics
C3653808,C09BB,ACE inhibitors and calcium channel blockers
C3652772,C09BB02,enalapril and lercanidipine
C3652804,C09BB03,lisinopril and amlodipine
C2931929,C09BB04,perindopril and amlodipine
C1276887,C09BB05,ramipril and felodipine
C3652771,C09BB06,enalapril and nitrendipine
C3652715,C09BB07,ramipril and amlodipine
C0718096,C09BB10,trandolapril and verapamil
C3652781,C09BB12,delapril and manidipine
C0717411,C09BB13,benazepril and amlodipine
C3700411,C09BX,"ACE inhibitors, other combinations"
C3700411,C09BX,"ACE inhibitors, other combinations in ATC"
C3700397,C09BX01,"perindopril, amlodipine and indapamide"
C4059161,C09BX02,perindopril and bisoprolol
C4542174,C09BX03,"ramipril, amlodipine and hydrochlorothiazide"
C5227836,C09BX04,"perindopril, bisoprolol and amlodipine"
C5432212,C09BX05,ramipril and bisoprolol
C5881821,C09BX06,"perindopril, bisoprolol, amlodipine and indapamide"
C5881806,C09BX07,zofenopril and nebivolol
C3653744,C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
C3653744,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
C0126174,C09CA01,losartan
C0287041,C09CA02,eprosartan
C0216784,C09CA03,valsartan
C0288171,C09CA04,irbesartan
C0662811,C09CA05,tasosartan
C0717550,C09CA06,candesartan
C0248719,C09CA07,telmisartan
C0386393,C09CA08,olmesartan medoxomil
C2698291,C09CA09,azilsartan medoxomil
C2825622,C09CA10,fimasartan
C3653793,C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS"
C3653794,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics
C3653032,C09DA01,losartan and diuretics
C3653037,C09DA02,eprosartan and diuretics
C3653023,C09DA03,valsartan and diuretics
C3653033,C09DA04,irbesartan and diuretics
C3653044,C09DA06,candesartan and diuretics
C3653067,C09DA07,telmisartan and diuretics
C3653026,C09DA08,olmesartan medoxomil and diuretics
C3871464,C09DA09,azilsartan medoxomil and diuretics
C4542167,C09DA10,fimasartan and diuretics
C3653795,C09DB,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
C1962523,C09DB01,valsartan and amlodipine
C3652731,C09DB02,olmesartan medoxomil and amlodipine
C2733369,C09DB04,telmisartan and amlodipine
C3652755,C09DB05,irbesartan and amlodipine
C3652748,C09DB06,losartan and amlodipine
