code,EMIS_term,product_name,substance_name,formulation,administration_route
4118941000033110,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VII Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VII,NA,NA,NA
4119041000033118,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size I Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size I,NA,NA,NA
4119141000033119,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size II Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size II,NA,NA,NA
4119241000033114,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size III Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size III,NA,NA,NA
4119341000033116,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size IV Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size IV,NA,NA,NA
4119441000033110,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size V Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size V,NA,NA,NA
4119541000033111,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VI Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VI,NA,NA,NA
4119641000033112,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VII Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VII,NA,NA,NA
4119741000033115,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I,NA,NA,NA
4119841000033113,Diazoxide  Oral Suspension (Sugar-Free)  50 mg/5 ml,NA,NA,NA,NA
4119941000033117,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II,NA,NA,NA
4120041000033119,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III,NA,NA,NA
4120141000033115,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV,NA,NA,NA
4120241000033110,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V,NA,NA,NA
4120341000033117,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI,NA,NA,NA
4120441000033111,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII,NA,NA,NA
4120541000033112,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size I Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size I,NA,NA,NA
4120641000033113,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size II Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size II,NA,NA,NA
4120741000033116,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size III Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size III,NA,NA,NA
4120841000033114,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size IV Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size IV,NA,NA,NA
4120941000033118,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size V Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size V,NA,NA,NA
4121041000033111,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size VI Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size VI,NA,NA,NA
4121141000033110,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size VII Black (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment size VII,NA,NA,NA
4121241000033115,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size I Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size I,NA,NA,NA
4121341000033113,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size II Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size II,NA,NA,NA
4121441000033119,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size III Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size III,NA,NA,NA
4121541000033118,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size IV Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size IV,NA,NA,NA
4121641000033117,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size V Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size V,NA,NA,NA
4121741000033114,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VI Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VI,NA,NA,NA
4121841000033116,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VII Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment size VII,NA,NA,NA
4121941000033112,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size I Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size I,NA,NA,NA
4122041000033118,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size II Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size II,NA,NA,NA
4122141000033119,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size III Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size III,NA,NA,NA
4122241000033114,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size IV Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size IV,NA,NA,NA
4122341000033116,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size V Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size V,NA,NA,NA
4122441000033110,Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VI Beige (Medi UK Ltd),Mediven Plus class 3 (34-46mmHg) below knee open toe lymphoedema garment petite size VI,NA,NA,NA
